Query-ID,Reference-ID,Mash-distance,P-value,Matching-hashes
Cps_KPL_4025,Cpr_DE0530,0.103815,0,599/10000
Cac_KPL_3674,Cpr_DE0530,0.197292,3.95253e-323,80/10000
Cps_KPL_3702,Cpr_DE0530,0.101126,0,636/10000
Cac_KPL_4075,Cpr_DE0530,0.192258,0,89/10000
Cpr_KPL_2654,Cpr_DE0530,0.0200625,0,4883/10000
Cac_KPL_3647,Cpr_DE0530,0.192791,0,88/10000
Cps_BWA172,Cpr_DE0530,0.107576,0,551/10000
Cpr_BWA124,Cpr_DE0530,0.0204389,0,4826/10000
Cac_BWA273,Cpr_DE0530,0.193331,0,87/10000
Cpr_KPL_3953,Cpr_DE0530,0.0152563,0,5697/10000
Cps_BWA092,Cpr_DE0530,0.104571,0,589/10000
Cac_BWA121,Cpr_DE0530,0.197292,7.90505e-323,80/10000
Cpr_DE0530,Cpr_DE0530,0,0,10000/10000
Cac_ATCC_49725,Cpr_DE0530,0.250557,1.42E-93,26/10000
Ctu_BWA195,Cpr_DE0530,0.256381,1.02E-81,23/10000
Cps_KPL_4041,Cpr_DE0530,0.101693,0,628/10000
Cac_KPL_3802,Cpr_DE0530,0.211692,3.56E-230,59/10000
Ctu_BWA207,Cpr_DE0530,0.263022,3.25E-70,20/10000
Ctu_DU074,Cpr_DE0530,0.25242,1.16E-89,25/10000
Cps_KPL_2621,Cpr_DE0530,0.106047,0,570/10000
Cpr_KPL_2804,Cpr_DE0530,0.019137,0,5027/10000
Cac_KPL_2618,Cpr_DE0530,0.243761,1.88E-109,30/10000
Cac_KPL_2617,Cpr_DE0530,0.204974,2.05E-269,68/10000
Cac_KPL_3774,Cpr_DE0530,0.193331,0,87/10000
Ctu_SK141,Cpr_DE0530,0.26803,1.85E-62,18/10000
Cps_KPL_3671,Cpr_DE0530,0.104495,0,590/10000
Cpr_KPL_3672,Cpr_DE0530,0.0182281,0,5174/10000
Cac_BWA109,Cpr_DE0530,0.26546,3.14E-66,19/10000
Ctu_BWA158,Cpr_DE0530,0.245371,1.22E-105,29/10000
Cac_KPL_2652,Cpr_DE0530,0.194429,0,85/10000
Cac_KPL_4065,Cpr_DE0530,0.211692,7.85E-231,59/10000
Cpr_KPL_2755,Cpr_DE0530,0.0118927,0,6380/10000
Cac_KPL_3921,Cpr_DE0530,0.242205,1.71E-113,31/10000
Cps_KPL_2773,Cpr_DE0530,0.100846,0,640/10000
Cma_NML_120205,Cpr_DE0530,0.248764,1.02E-97,27/10000
Cps_KPL_4010,Cpr_DE0530,0.101693,0,628/10000
Cps_KPL_2640,Cpr_DE0530,0.106206,0,568/10000
Cpr_HSID18035,Cpr_DE0530,0.0142314,0,5894/10000
Cps_KPL_2865,Cpr_DE0530,0.102124,0,622/10000
Cac_KPL_2859,Cpr_DE0530,0.218593,9.33E-197,51/10000
Cac_BWA096,Cpr_DE0530,0.192791,0,88/10000
Cps_KPL_2733,Cpr_DE0530,0.102704,0,614/10000
Cps_KPL_2834,Cpr_DE0530,0.103219,0,607/10000
Ctu_KPL_3807,Cpr_DE0530,0.260703,4.35E-74,21/10000
Cac_KPL_2641,Cpr_DE0530,0.192791,0,88/10000
Cac_KPL_2660,Cpr_DE0530,0.214163,1.21E-217,56/10000
Cpr_KPL_3675,Cpr_DE0530,0.0198343,0,4918/10000
Cac_KPL_3970,Cpr_DE0530,0.192791,0,88/10000
Cac_KPL_3832,Cpr_DE0530,0.243761,1.16E-109,30/10000
Cpr_KPL_3889,Cpr_DE0530,0.0183132,0,5160/10000
Cps_KPL_3772,Cpr_DE0530,0.103219,0,607/10000
Cac_KPL_3926,Cpr_DE0530,0.215016,3.25E-213,55/10000
Cps_DU080,Cpr_DE0530,0.102558,0,616/10000
Ctu_BWA150,Cpr_DE0530,0.283502,1.23E-43,13/10000
Cac_DU079,Cpr_DE0530,0.207842,2.72E-252,64/10000
Cps_KPL_3770,Cpr_DE0530,0.102997,0,610/10000
Cac_KPL_2783,Cpr_DE0530,0.211692,8.86E-231,59/10000
Cma_CCUG_32361,Cpr_DE0530,0.263022,4.68E-70,20/10000
Cpr_1274_CJEI,Cpr_DE0530,0.0178371,0,5239/10000
Cps_KPL_2915,Cpr_DE0530,0.104801,0,586/10000
Cpr_KPL_3967,Cpr_DE0530,0.0193587,0,4992/10000
Cps_KPL_3833,Cpr_DE0530,0.10542,0,578/10000
Cpr_KPL_2785,Cpr_DE0530,0.0192381,0,5011/10000
Cpr_KPL_4040,Cpr_DE0530,0.0211617,0,4719/10000
Cps_90104,Cpr_DE0530,0.103665,0,601/10000
Cpr_KPL_2811,Cpr_DE0530,0.0119383,0,6370/10000
Cac_KPL_3703,Cpr_DE0530,0.190693,0,92/10000
Cac_KPL_4034,Cpr_DE0530,0.231311,3.57E-146,39/10000
Cma_NML_080212,Cpr_DE0530,0.250557,1.45E-93,26/10000
Cac_ATCC_49726,Cpr_DE0530,0.247037,1.14E-101,28/10000
Ctu_DSM_44922,Cpr_DSM_44285,0.254359,7.87E-86,24/10000
Cac_KPL_1996,Cpr_DSM_44285,0.23782,1.05E-125,34/10000
Cps_KPL_1989,Cpr_DSM_44285,0.104571,0,589/10000
Cac_KPL_1818,Cpr_DSM_44285,0.227796,1.00E-158,42/10000
Cps_BWA188,Cpr_DSM_44285,0.107087,0,557/10000
Cac_BWA270,Cpr_DSM_44285,0.250557,1.26E-93,26/10000
Cac_KPL_1824,Cpr_DSM_44285,0.233808,7.43E-138,37/10000
Cps_BWA127,Cpr_DSM_44285,0.107087,0,557/10000
Cps_BWA223,Cpr_DSM_44285,0.107087,0,557/10000
Cps_BWA184,Cpr_DSM_44285,0.105654,0,575/10000
Cps_BWA300,Cpr_DSM_44285,0.105032,0,583/10000
Cac_BWA161,Cpr_DSM_44285,0.25242,1.02E-89,25/10000
Cps_BWA311,Cpr_DSM_44285,0.103815,0,599/10000
Cps_DSM_44287,Cpr_DSM_44285,0.10807,0,545/10000
Cps_BWA118,Cpr_DSM_44285,0.103815,0,599/10000
Cps_BWA198,Cpr_DSM_44285,0.107576,0,551/10000
Cps_HSID17576,Cpr_DSM_44285,0.10857,0,539/10000
Cac_DU075,Cpr_DSM_44285,0.26803,2.00E-62,18/10000
Cps_BWA141,Cpr_DSM_44285,0.105732,0,574/10000
Cps_BWA283,Cpr_DSM_44285,0.108153,0,544/10000
Cps_HSID17575,Cpr_DSM_44285,0.109161,0,532/10000
Cps_BWA238,Cpr_DSM_44285,0.106444,0,565/10000
Cps_BWA110,Cpr_DSM_44285,0.106047,0,570/10000
Cac_BWA070,Cpr_DSM_44285,0.231311,1.10E-146,39/10000
Cps_KPL_3966,Cpr_DSM_44285,0.107412,0,553/10000
Cps_KPL_4066,Cpr_DSM_44285,0.106126,0,569/10000
Cps_KPL_2826,Cpr_DSM_44285,0.107087,0,557/10000
Cps_BWA164,Cpr_DSM_44285,0.106365,0,566/10000
Cpr_BWA290,Cpr_DSM_44285,0.0174879,0,5298/10000
Cpr_BWA146,Cpr_DSM_44285,0.0169192,0,5396/10000
Cps_BWA166,Cpr_DSM_44285,0.105576,0,576/10000
Cac_DU076,Cpr_DSM_44285,0.231311,1.20E-146,39/10000
Cpr_KPL_2657,Cpr_DSM_44285,0.0130493,0,6133/10000
Cps_KPL_2795,Cpr_DSM_44285,0.107905,0,547/10000
Cpr_DSM_44285,Cpr_DSM_44285,0,0,10000/10000
Cps_BWA305,Cpr_DSM_44285,0.108907,0,535/10000
Cps_KPL_2667,Cpr_DSM_44285,0.109161,0,532/10000
Cps_KPL_4025,Cpr_DSM_44285,0.106126,0,569/10000
Cac_KPL_3674,Cpr_DSM_44285,0.23011,8.52E-151,40/10000
Cps_KPL_3702,Cpr_DSM_44285,0.108236,0,543/10000
Cac_KPL_4075,Cpr_DSM_44285,0.235108,3.60E-134,36/10000
Cpr_KPL_2654,Cpr_DSM_44285,0.0203194,0,4844/10000
Cac_KPL_3647,Cpr_DSM_44285,0.22668,3.45E-163,43/10000
Cps_BWA172,Cpr_DSM_44285,0.107576,0,551/10000
Cpr_BWA124,Cpr_DSM_44285,0.0175232,0,5292/10000
Cac_BWA273,Cpr_DSM_44285,0.247037,1.12E-101,28/10000
Cpr_KPL_3953,Cpr_DSM_44285,0.018216,0,5176/10000
Cps_BWA092,Cpr_DSM_44285,0.105968,0,571/10000
Cac_BWA121,Cpr_DSM_44285,0.260703,5.54E-74,21/10000
Cpr_DE0530,Cpr_DSM_44285,0.0176767,0,5266/10000
Cac_ATCC_49725,Cpr_DSM_44285,0.25242,7.14E-90,25/10000
Ctu_BWA195,Cpr_DSM_44285,0.245371,7.71E-106,29/10000
Cps_KPL_4041,Cpr_DSM_44285,0.103367,0,605/10000
Cac_KPL_3802,Cpr_DSM_44285,0.22559,5.82E-167,44/10000
Ctu_BWA207,Cpr_DSM_44285,0.270747,6.90E-59,17/10000
Ctu_DU074,Cpr_DSM_44285,0.25242,6.37E-90,25/10000
Cps_KPL_2621,Cpr_DSM_44285,0.107494,0,552/10000
Cpr_KPL_2804,Cpr_DSM_44285,0.018638,0,5107/10000
Cac_KPL_2618,Cpr_DSM_44285,0.254359,8.25E-86,24/10000
Cac_KPL_2617,Cpr_DSM_44285,0.243761,1.84E-109,30/10000
Cac_KPL_3774,Cpr_DSM_44285,0.236445,6.19E-130,35/10000
Ctu_SK141,Cpr_DSM_44285,0.26803,1.20E-62,18/10000
Cps_KPL_3671,Cpr_DSM_44285,0.107087,0,557/10000
Cpr_KPL_3672,Cpr_DSM_44285,0.0104453,0,6709/10000
Cac_BWA109,Cpr_DSM_44285,0.248764,7.46E-98,27/10000
Ctu_BWA158,Cpr_DSM_44285,0.25242,6.12E-90,25/10000
Cac_KPL_2652,Cpr_DSM_44285,0.247037,1.25E-101,28/10000
Cac_KPL_4065,Cpr_DSM_44285,0.242205,9.57E-114,31/10000
Cpr_KPL_2755,Cpr_DSM_44285,0.0191434,0,5026/10000
Cac_KPL_3921,Cpr_DSM_44285,0.22668,2.40E-163,43/10000
Cps_KPL_2773,Cpr_DSM_44285,0.104343,0,592/10000
Cma_NML_120205,Cpr_DSM_44285,0.250557,5.34E-94,26/10000
Cps_KPL_4010,Cpr_DSM_44285,0.10542,0,578/10000
Cps_KPL_2640,Cpr_DSM_44285,0.108991,0,534/10000
Cpr_HSID18035,Cpr_DSM_44285,0.0186751,0,5101/10000
Cps_KPL_2865,Cpr_DSM_44285,0.108153,0,544/10000
Cac_KPL_2859,Cpr_DSM_44285,0.25242,8.20E-90,25/10000
Cac_BWA096,Cpr_DSM_44285,0.240698,8.23E-118,32/10000
Cps_KPL_2733,Cpr_DSM_44285,0.104955,0,584/10000
Cps_KPL_2834,Cpr_DSM_44285,0.104495,0,590/10000
Ctu_KPL_3807,Cpr_DSM_44285,0.258493,3.27E-78,22/10000
Cac_KPL_2641,Cpr_DSM_44285,0.22559,2.51E-167,44/10000
Cac_KPL_2660,Cpr_DSM_44285,0.250557,1.49E-93,26/10000
Cpr_KPL_3675,Cpr_DSM_44285,0.0182099,0,5177/10000
Cac_KPL_3970,Cpr_DSM_44285,0.243761,1.11E-109,30/10000
Cac_KPL_3832,Cpr_DSM_44285,0.26803,1.27E-62,18/10000
Cpr_KPL_3889,Cpr_DSM_44285,0.0178789,0,5232/10000
Cps_KPL_3772,Cpr_DSM_44285,0.109076,0,533/10000
Cac_KPL_3926,Cpr_DSM_44285,0.236445,8.40E-130,35/10000
Cps_DU080,Cpr_DSM_44285,0.104878,0,585/10000
Ctu_BWA150,Cpr_DSM_44285,0.254359,6.57E-86,24/10000
Cac_DU079,Cpr_DSM_44285,0.228939,9.59E-155,41/10000
Cps_KPL_3770,Cpr_DSM_44285,0.106444,0,565/10000
Cac_KPL_2783,Cpr_DSM_44285,0.254359,9.77E-86,24/10000
Cma_CCUG_32361,Cpr_DSM_44285,0.26546,2.09E-66,19/10000
Cpr_1274_CJEI,Cpr_DSM_44285,0.0147197,0,5799/10000
Cps_KPL_2915,Cpr_DSM_44285,0.108738,0,537/10000
Cpr_KPL_3967,Cpr_DSM_44285,0.017867,0,5234/10000
Cps_KPL_3833,Cpr_DSM_44285,0.109846,0,524/10000
Cpr_KPL_2785,Cpr_DSM_44285,0.0173941,0,5314/10000
Cpr_KPL_4040,Cpr_DSM_44285,0.0167365,0,5428/10000
Cps_90104,Cpr_DSM_44285,0.109331,0,530/10000
Cpr_KPL_2811,Cpr_DSM_44285,0.0193333,0,4996/10000
Cac_KPL_3703,Cpr_DSM_44285,0.245371,9.83E-106,29/10000
Cac_KPL_4034,Cpr_DSM_44285,0.22668,2.86E-163,43/10000
Cma_NML_080212,Cpr_DSM_44285,0.254359,6.60E-86,24/10000
Cac_ATCC_49726,Cpr_DSM_44285,0.256381,4.51E-82,23/10000
Ctu_DSM_44922,Cpr_HSID18035,0.254359,1.21E-85,24/10000
Cac_KPL_1996,Cpr_HSID18035,0.191209,0,91/10000
Cps_KPL_1989,Cpr_HSID18035,0.0952252,0,726/10000
Cac_KPL_1818,Cpr_HSID18035,0.22559,9.62E-167,44/10000
Cps_BWA188,Cpr_HSID18035,0.101056,0,637/10000
Cac_BWA270,Cpr_HSID18035,0.200342,7.68E-301,75/10000
Cac_KPL_1824,Cpr_HSID18035,0.202271,6.88E-287,72/10000
Cps_BWA127,Cpr_HSID18035,0.102052,0,623/10000
Cps_BWA223,Cpr_HSID18035,0.10198,0,624/10000
Cps_BWA184,Cpr_HSID18035,0.0974224,0,691/10000
Cps_BWA300,Cpr_HSID18035,0.0988651,0,669/10000
Cac_BWA161,Cpr_HSID18035,0.195553,0,83/10000
Cps_BWA311,Cpr_HSID18035,0.0990657,0,666/10000
Cps_DSM_44287,Cpr_HSID18035,0.101056,0,637/10000
Cps_BWA118,Cpr_HSID18035,0.0989318,0,668/10000
Cps_BWA198,Cpr_HSID18035,0.10198,0,624/10000
Cps_HSID17576,Cpr_HSID18035,0.0962153,0,710/10000
Cac_DU075,Cpr_HSID18035,0.200976,2.02E-296,74/10000
Cps_BWA141,Cpr_HSID18035,0.100986,0,638/10000
Cps_BWA283,Cpr_HSID18035,0.10374,0,600/10000
Cps_HSID17575,Cpr_HSID18035,0.096656,0,703/10000
Cps_BWA238,Cpr_HSID18035,0.100986,0,638/10000
Cps_BWA110,Cpr_HSID18035,0.0988651,0,669/10000
Cac_BWA070,Cpr_HSID18035,0.190693,0,92/10000
Cps_KPL_3966,Cpr_HSID18035,0.0984667,0,675/10000
Cps_KPL_4066,Cpr_HSID18035,0.0982689,0,678/10000
Cps_KPL_2826,Cpr_HSID18035,0.0982689,0,678/10000
Cps_BWA164,Cpr_HSID18035,0.101126,0,636/10000
Cpr_BWA290,Cpr_HSID18035,0.0183436,0,5155/10000
Cpr_BWA146,Cpr_HSID18035,0.0185456,0,5122/10000
Cps_BWA166,Cpr_HSID18035,0.0993347,0,662/10000
Cac_DU076,Cpr_HSID18035,0.204284,1.06E-274,69/10000
Cpr_KPL_2657,Cpr_HSID18035,0.0201084,0,4876/10000
Cps_KPL_2795,Cpr_HSID18035,0.0988651,0,669/10000
Cpr_DSM_44285,Cpr_HSID18035,0.0186751,0,5101/10000
Cps_BWA305,Cpr_HSID18035,0.0964036,0,707/10000
Cps_KPL_2667,Cpr_HSID18035,0.100083,0,651/10000
Cps_KPL_4025,Cpr_HSID18035,0.0979413,0,683/10000
Cac_KPL_3674,Cpr_HSID18035,0.190693,0,92/10000
Cps_KPL_3702,Cpr_HSID18035,0.0968463,0,700/10000
Cac_KPL_4075,Cpr_HSID18035,0.18918,0,95/10000
Cpr_KPL_2654,Cpr_HSID18035,0.0194799,0,4973/10000
Cac_KPL_3647,Cpr_HSID18035,0.185367,0,103/10000
Cps_BWA172,Cpr_HSID18035,0.10148,0,631/10000
Cpr_BWA124,Cpr_HSID18035,0.0187618,0,5087/10000
Cac_BWA273,Cpr_HSID18035,0.193877,0,86/10000
Cpr_KPL_3953,Cpr_HSID18035,0.0146108,0,5820/10000
Cps_BWA092,Cpr_HSID18035,0.0974224,0,691/10000
Cac_BWA121,Cpr_HSID18035,0.197886,1.34048e-318,79/10000
Cpr_DE0530,Cpr_HSID18035,0.0142314,0,5894/10000
Cac_ATCC_49725,Cpr_HSID18035,0.250557,1.20E-93,26/10000
Ctu_BWA195,Cpr_HSID18035,0.248764,1.32E-97,27/10000
Cps_KPL_4041,Cpr_HSID18035,0.0954705,0,722/10000
Cac_KPL_3802,Cpr_HSID18035,0.200342,3.71E-300,75/10000
Ctu_BWA207,Cpr_HSID18035,0.260703,3.78E-74,21/10000
Ctu_DU074,Cpr_HSID18035,0.243761,9.93E-110,30/10000
Cps_KPL_2621,Cpr_HSID18035,0.0983347,0,677/10000
Cpr_KPL_2804,Cpr_HSID18035,0.018089,0,5197/10000
Cac_KPL_2618,Cpr_HSID18035,0.247037,1.68E-101,28/10000
Cac_KPL_2617,Cpr_HSID18035,0.207842,3.65E-252,64/10000
Cac_KPL_3774,Cpr_HSID18035,0.190183,0,93/10000
Ctu_SK141,Cpr_HSID18035,0.26546,2.42E-66,19/10000
Cps_KPL_3671,Cpr_HSID18035,0.0970374,0,697/10000
Cpr_KPL_3672,Cpr_HSID18035,0.0193269,0,4997/10000
Cac_BWA109,Cpr_HSID18035,0.256381,8.15E-82,23/10000
Ctu_BWA158,Cpr_HSID18035,0.243761,9.45E-110,30/10000
Cac_KPL_2652,Cpr_HSID18035,0.190183,0,93/10000
Cac_KPL_4065,Cpr_HSID18035,0.203604,6.14E-279,70/10000
Cpr_KPL_2755,Cpr_HSID18035,0.0138435,0,5971/10000
Cac_KPL_3921,Cpr_HSID18035,0.221466,4.60E-184,48/10000
Cps_KPL_2773,Cpr_HSID18035,0.0969736,0,698/10000
Cma_NML_120205,Cpr_HSID18035,0.247037,8.54E-102,28/10000
Cps_KPL_4010,Cpr_HSID18035,0.0980066,0,682/10000
Cps_KPL_2640,Cpr_HSID18035,0.101622,0,629/10000
Cpr_HSID18035,Cpr_HSID18035,0,0,10000/10000
Cps_KPL_2865,Cpr_HSID18035,0.0953477,0,724/10000
Cac_KPL_2859,Cpr_HSID18035,0.217673,3.66E-201,52/10000
Cac_BWA096,Cpr_HSID18035,0.190693,0,92/10000
Cps_KPL_2733,Cpr_HSID18035,0.0959655,0,714/10000
Cps_KPL_2834,Cpr_HSID18035,0.0959033,0,715/10000
Ctu_KPL_3807,Cpr_HSID18035,0.260703,3.82E-74,21/10000
Cac_KPL_2641,Cpr_HSID18035,0.184912,0,104/10000
Cac_KPL_2660,Cpr_HSID18035,0.214163,8.41E-218,56/10000
Cpr_KPL_3675,Cpr_HSID18035,0.0188239,0,5077/10000
Cac_KPL_3970,Cpr_HSID18035,0.190183,0,93/10000
Cac_KPL_3832,Cpr_HSID18035,0.248764,1.07E-97,27/10000
Cpr_KPL_3889,Cpr_HSID18035,0.0173123,0,5328/10000
Cps_KPL_3772,Cpr_HSID18035,0.0949813,0,730/10000
Cac_KPL_3926,Cpr_HSID18035,0.210897,7.04E-235,60/10000
Cps_DU080,Cpr_HSID18035,0.0958412,0,716/10000
Ctu_BWA150,Cpr_HSID18035,0.26803,1.96E-62,18/10000
Cac_DU079,Cpr_HSID18035,0.199716,3.71E-305,76/10000
Cps_KPL_3770,Cpr_HSID18035,0.0963407,0,708/10000
Cac_KPL_2783,Cpr_HSID18035,0.211692,6.07E-231,59/10000
Cma_CCUG_32361,Cpr_HSID18035,0.263022,4.13E-70,20/10000
Cpr_1274_CJEI,Cpr_HSID18035,0.0199775,0,4896/10000
Cps_KPL_2915,Cpr_HSID18035,0.0986654,0,672/10000
Cpr_KPL_3967,Cpr_HSID18035,0.0196919,0,4940/10000
Cps_KPL_3833,Cpr_HSID18035,0.0989987,0,667/10000
Cpr_KPL_2785,Cpr_HSID18035,0.0192825,0,5004/10000
Cpr_KPL_4040,Cpr_HSID18035,0.0227399,0,4496/10000
Cps_90104,Cpr_HSID18035,0.0979413,0,683/10000
Cpr_KPL_2811,Cpr_HSID18035,0.0139988,0,5940/10000
Cac_KPL_3703,Cpr_HSID18035,0.192258,0,89/10000
Cac_KPL_4034,Cpr_HSID18035,0.22668,6.18E-163,43/10000
Cma_NML_080212,Cpr_HSID18035,0.245371,1.25E-105,29/10000
Cac_ATCC_49726,Cpr_HSID18035,0.247037,9.59E-102,28/10000
Ctu_DSM_44922,Cpr_KPL_2654,0.25242,1.35E-89,25/10000
Cac_KPL_1996,Cpr_KPL_2654,0.245371,3.11E-105,29/10000
Cps_KPL_1989,Cpr_KPL_2654,0.107822,0,548/10000
Cac_KPL_1818,Cpr_KPL_2654,0.247037,3.21E-101,28/10000
Cps_BWA188,Cpr_KPL_2654,0.107412,0,553/10000
Cac_BWA270,Cpr_KPL_2654,0.263022,5.94E-70,20/10000
Cac_KPL_1824,Cpr_KPL_2654,0.247037,4.09E-101,28/10000
Cps_BWA127,Cpr_KPL_2654,0.107412,0,553/10000
Cps_BWA223,Cpr_KPL_2654,0.107006,0,558/10000
Cps_BWA184,Cpr_KPL_2654,0.107168,0,556/10000
Cps_BWA300,Cpr_KPL_2654,0.107168,0,556/10000
Cac_BWA161,Cpr_KPL_2654,0.248764,1.82E-97,27/10000
Cps_BWA311,Cpr_KPL_2654,0.104419,0,591/10000
Cps_DSM_44287,Cpr_KPL_2654,0.111073,0,510/10000
Cps_BWA118,Cpr_KPL_2654,0.104419,0,591/10000
Cps_BWA198,Cpr_KPL_2654,0.110193,0,520/10000
Cps_HSID17576,Cpr_KPL_2654,0.109502,0,528/10000
Cac_DU075,Cpr_KPL_2654,0.26546,4.15E-66,19/10000
Cps_BWA141,Cpr_KPL_2654,0.108403,0,541/10000
Cps_BWA283,Cpr_KPL_2654,0.108403,0,541/10000
Cps_HSID17575,Cpr_KPL_2654,0.108991,0,534/10000
Cps_BWA238,Cpr_KPL_2654,0.110368,0,518/10000
Cps_BWA110,Cpr_KPL_2654,0.106926,0,559/10000
Cac_BWA070,Cpr_KPL_2654,0.26546,3.31E-66,19/10000
Cps_KPL_3966,Cpr_KPL_2654,0.109331,0,530/10000
Cps_KPL_4066,Cpr_KPL_2654,0.108153,0,544/10000
Cps_KPL_2826,Cpr_KPL_2654,0.106524,0,564/10000
Cps_BWA164,Cpr_KPL_2654,0.107987,0,546/10000
Cpr_BWA290,Cpr_KPL_2654,0.0152084,0,5706/10000
Cpr_BWA146,Cpr_KPL_2654,0.00656913,0,7717/10000
Cps_BWA166,Cpr_KPL_2654,0.10807,0,545/10000
Cac_DU076,Cpr_KPL_2654,0.245371,1.62E-105,29/10000
Cpr_KPL_2657,Cpr_KPL_2654,0.0191181,0,5030/10000
Cps_KPL_2795,Cpr_KPL_2654,0.109246,0,531/10000
Cpr_DSM_44285,Cpr_KPL_2654,0.0203194,0,4844/10000
Cps_BWA305,Cpr_KPL_2654,0.109933,0,523/10000
Cps_KPL_2667,Cpr_KPL_2654,0.110984,0,511/10000
Cps_KPL_4025,Cpr_KPL_2654,0.108319,0,542/10000
Cac_KPL_3674,Cpr_KPL_2654,0.26546,3.48E-66,19/10000
Cps_KPL_3702,Cpr_KPL_2654,0.10774,0,549/10000
Cac_KPL_4075,Cpr_KPL_2654,0.245371,1.86E-105,29/10000
Cpr_KPL_2654,Cpr_KPL_2654,0,0,10000/10000
Cac_KPL_3647,Cpr_KPL_2654,0.243761,1.96E-109,30/10000
Cps_BWA172,Cpr_KPL_2654,0.110019,0,522/10000
Cpr_BWA124,Cpr_KPL_2654,0.0154381,0,5663/10000
Cac_BWA273,Cpr_KPL_2654,0.245371,1.79E-105,29/10000
Cpr_KPL_3953,Cpr_KPL_2654,0.0205724,0,4806/10000
Cps_BWA092,Cpr_KPL_2654,0.107576,0,551/10000
Cac_BWA121,Cpr_KPL_2654,0.26546,4.09E-66,19/10000
Cpr_DE0530,Cpr_KPL_2654,0.0200625,0,4883/10000
Cac_ATCC_49725,Cpr_KPL_2654,0.247037,1.24E-101,28/10000
Ctu_BWA195,Cpr_KPL_2654,0.26546,2.95E-66,19/10000
Cps_KPL_4041,Cpr_KPL_2654,0.10725,0,555/10000
Cac_KPL_3802,Cpr_KPL_2654,0.239237,2.94E-121,33/10000
Ctu_BWA207,Cpr_KPL_2654,0.258493,4.70E-78,22/10000
Ctu_DU074,Cpr_KPL_2654,0.256381,7.50E-82,23/10000
Cps_KPL_2621,Cpr_KPL_2654,0.107658,0,550/10000
Cpr_KPL_2804,Cpr_KPL_2654,0.0141199,0,5916/10000
Cac_KPL_2618,Cpr_KPL_2654,0.242205,1.41E-113,31/10000
Cac_KPL_2617,Cpr_KPL_2654,0.231311,6.03E-146,39/10000
Cac_KPL_3774,Cpr_KPL_2654,0.245371,2.38E-105,29/10000
Ctu_SK141,Cpr_KPL_2654,0.260703,4.44E-74,21/10000
Cps_KPL_3671,Cpr_KPL_2654,0.106604,0,563/10000
Cpr_KPL_3672,Cpr_KPL_2654,0.0210454,0,4736/10000
Cac_BWA109,Cpr_KPL_2654,0.26546,2.76E-66,19/10000
Ctu_BWA158,Cpr_KPL_2654,0.25242,9.39E-90,25/10000
Cac_KPL_2652,Cpr_KPL_2654,0.247037,2.04E-101,28/10000
Cac_KPL_4065,Cpr_KPL_2654,0.248764,1.88E-97,27/10000
Cpr_KPL_2755,Cpr_KPL_2654,0.0220552,0,4591/10000
Cac_KPL_3921,Cpr_KPL_2654,0.239237,1.05E-121,33/10000
Cps_KPL_2773,Cpr_KPL_2654,0.107087,0,557/10000
Cma_NML_120205,Cpr_KPL_2654,0.247037,8.43E-102,28/10000
Cps_KPL_4010,Cpr_KPL_2654,0.10725,0,555/10000
Cps_KPL_2640,Cpr_KPL_2654,0.105032,0,583/10000
Cpr_HSID18035,Cpr_KPL_2654,0.0194799,0,4973/10000
Cps_KPL_2865,Cpr_KPL_2654,0.108153,0,544/10000
Cac_KPL_2859,Cpr_KPL_2654,0.254359,1.12E-85,24/10000
Cac_BWA096,Cpr_KPL_2654,0.247037,1.88E-101,28/10000
Cps_KPL_2733,Cpr_KPL_2654,0.105576,0,576/10000
Cps_KPL_2834,Cpr_KPL_2654,0.105968,0,571/10000
Ctu_KPL_3807,Cpr_KPL_2654,0.258493,4.75E-78,22/10000
Cac_KPL_2641,Cpr_KPL_2654,0.247037,2.26E-101,28/10000
Cac_KPL_2660,Cpr_KPL_2654,0.243761,2.49E-109,30/10000
Cpr_KPL_3675,Cpr_KPL_2654,0.0187122,0,5095/10000
Cac_KPL_3970,Cpr_KPL_2654,0.242205,1.73E-113,31/10000
Cac_KPL_3832,Cpr_KPL_2654,0.243761,9.49E-110,30/10000
Cpr_KPL_3889,Cpr_KPL_2654,0.0205858,0,4804/10000
Cps_KPL_3772,Cpr_KPL_2654,0.108738,0,537/10000
Cac_KPL_3926,Cpr_KPL_2654,0.250557,2.76E-93,26/10000
Cps_DU080,Cpr_KPL_2654,0.105811,0,573/10000
Ctu_BWA150,Cpr_KPL_2654,0.273629,7.50E-55,16/10000
Cac_DU079,Cpr_KPL_2654,0.247037,2.38E-101,28/10000
Cps_KPL_3770,Cpr_KPL_2654,0.106285,0,567/10000
Cac_KPL_2783,Cpr_KPL_2654,0.247037,2.02E-101,28/10000
Cma_CCUG_32361,Cpr_KPL_2654,0.260703,5.48E-74,21/10000
Cpr_1274_CJEI,Cpr_KPL_2654,0.0191686,0,5022/10000
Cps_KPL_2915,Cpr_KPL_2654,0.107822,0,548/10000
Cpr_KPL_3967,Cpr_KPL_2654,0.0194863,0,4972/10000
Cps_KPL_3833,Cpr_KPL_2654,0.109246,0,531/10000
Cpr_KPL_2785,Cpr_KPL_2654,0.0191056,0,5032/10000
Cpr_KPL_4040,Cpr_KPL_2654,0.0203924,0,4833/10000
Cps_90104,Cpr_KPL_2654,0.109331,0,530/10000
